,id,member_id,loan_amount,funded_amount,funded_amount_inv,term,int_rate,instalment,grade,sub_grade,employment_length,home_ownership,annual_inc,verification_status,issue_date,loan_status,payment_plan,purpose,dti,delinq_2yrs,earliest_credit_line,inq_last_6mths,mths_since_last_delinq,open_accounts,total_accounts,out_prncp,out_prncp_inv,total_payment,total_payment_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_payment_date,last_payment_amount,last_credit_pull_date,collections_12_mths_ex_med,policy_code,application_type,year
37517,864121,1077282,6000,6000,6000.0,36 months,11.99,199.26,B,B5,10+ years,MORTGAGE,61000.0,Verified,2017-09-01,Charged Off,n,debt_consolidation,9.15,2,01/06/1999,2,7,10,22,0.0,0.0,3204.4,3204.4,2240.31,748.01,0.0,216.08,2.28,01/12/2018,398.52,01/05/2019,0.0,1,INDIVIDUAL,2017
37518,864103,1077261,14000,14000,14000.0,60 months,18.79,361.56,E,E3,< 1 year,RENT,70000.0,Source Verified,2017-09-01,Charged Off,n,debt_consolidation,8.19,0,01/01/1997,1,33,8,19,0.0,0.0,10286.85,10286.85,4100.85,4742.19,18.00768,1425.81,14.0941,01/02/2020,200.0,01/09/2020,0.0,1,INDIVIDUAL,2017
37525,863853,1077001,17850,17850,17725.0,60 months,18.39,457.07,E,E2,10+ years,MORTGAGE,58800.0,Verified,2017-09-01,Charged Off,n,debt_consolidation,23.37,4,01/09/1998,1,10,15,32,0.0,0.0,19389.28,19253.5,9569.49,8648.71,45.69550069,1125.38,202.5684,01/04/2021,250.0,01/05/2021,0.0,1,INDIVIDUAL,2017
37535,863530,1076667,15000,15000,14700.0,60 months,12.99,341.22,C,C1,5 years,MORTGAGE,98000.0,Verified,2017-08-01,Charged Off,n,debt_consolidation,7.44,0,01/07/2002,0,31,10,11,0.0,0.0,2531.87,2481.06,1094.29,937.73,0.0,499.85,5.39,01/03/2018,341.22,01/08/2018,0.0,1,INDIVIDUAL,2017
37556,890401,1076196,21725,21725,21541.40512,36 months,18.79,561.06,E,E3,10+ years,RENT,50000.0,Verified,2017-09-01,Charged Off,n,debt_consolidation,21.07,0,01/12/1997,0,31,13,27,0.0,0.0,4069.48,3677.47,1375.45,1984.01,0.0,710.02,7.45,01/04/2018,561.06,01/09/2018,0.0,1,INDIVIDUAL,2017
37562,862933,1076042,21000,21000,21000.0,36 months,16.49,743.39,D,D3,1 year,RENT,112511.52,Verified,2017-08-01,Charged Off,n,debt_consolidation,13.05,0,01/04/2000,2,45,6,40,0.0,0.0,15106.15,15106.15,9148.78,5239.58,37.11449925,680.67,6.806700002,01/10/2019,520.23,01/11/2019,0.0,1,INDIVIDUAL,2017
37568,862882,1075897,20000,20000,20000.0,60 months,19.69,526.44,E,E5,10+ years,OWN,54000.0,Source Verified,2017-09-01,Charged Off,n,major_purchase,17.78,1,01/03/1995,1,14,5,20,0.0,0.0,6290.94,6290.94,2131.67,3122.73,0.0,1036.54,10.11,01/07/2018,526.44,01/12/2018,0.0,1,INDIVIDUAL,2017
37572,862642,1075690,9200,9200,9200.0,36 months,7.49,286.14,A,A4,10+ years,RENT,29000.0,Not Verified,2017-09-01,Charged Off,n,credit_card,21.52,0,01/11/1996,1,31,10,15,0.0,0.0,3250.18,3250.18,2346.81,509.57,0.0,393.8,3.88,01/07/2018,286.14,01/12/2018,0.0,1,INDIVIDUAL,2017
37581,862434,1075473,15000,15000,15000.0,36 months,13.507328482328484,473.45,A,A5,5 years,MORTGAGE,75000.0,Not Verified,2017-08-01,Charged Off,n,small_business,5.18,0,01/08/1990,0,44,5,28,0.0,0.0,7171.61,7171.61,5375.36,1243.48,0.0,552.77,5.61,01/11/2018,946.9,01/08/2019,0.0,1,INDIVIDUAL,2017
37584,862295,1075379,12000,12000,12000.0,60 months,11.49,263.86,B,B4,1 year,RENT,40000.0,Source Verified,2017-09-01,Charged Off,n,debt_consolidation,12.48,0,01/02/1992,0,31,15,18,0.0,0.0,4748.98,4748.98,2898.37,1830.41,0.0,20.2,0.0,01/03/2019,263.86,01/01/2022,0.0,1,INDIVIDUAL,2017
37586,862354,1075342,7600,7600,7600.0,60 months,10.99,165.21,B,B3,2 years,MORTGAGE,95004.0,Source Verified,2017-08-01,Charged Off,n,other,2.49,0,01/04/2002,0,31,7,12,0.0,0.0,6724.39,6724.39,2081.31,1212.29,0.0,3430.79,142.308,01/05/2019,165.21,01/07/2019,0.0,1,INDIVIDUAL,2017
37600,861889,1074811,16200,16200,16125.0,60 months,16.49,398.19,D,D3,7 years,RENT,38000.0,Verified,2017-09-01,Charged Off,n,debt_consolidation,22.07,0,01/12/2002,2,31,12,24,0.0,0.0,5576.93,5551.23,2268.12,2498.52,0.0,810.29,7.6,01/09/2018,398.19,01/02/2019,0.0,1,INDIVIDUAL,2017
37601,861881,1074801,30000,30000,30000.0,60 months,20.25,799.0,F,F1,4 years,MORTGAGE,150000.0,Verified,2017-09-01,Charged Off,n,small_business,5.46,0,01/02/2000,2,31,6,11,0.0,0.0,16949.42,16949.42,1511.38,2476.72,0.0,12961.32,1111.23,01/02/2018,799.0,01/07/2018,0.0,1,INDIVIDUAL,2017
37603,861835,1074752,18000,12000,17975.0,60 months,16.49,442.43,D,D3,5 years,RENT,103000.0,Verified,2017-09-01,Charged Off,n,moving,24.24,0,01/01/1992,3,31,11,35,0.0,0.0,2204.0,2200.95,998.88,1205.12,0.0,0.0,0.0,01/02/2018,442.43,01/01/2022,0.0,1,INDIVIDUAL,2017
37604,861751,1074718,15000,15000,15000.0,36 months,11.71,496.14,B,B3,1 year,RENT,40000.0,Source Verified,2017-09-01,Charged Off,n,small_business,10.71,1,01/12/1999,0,21,5,11,0.0,0.0,9398.35,9398.35,6824.81,2089.29,0.0,484.25,5.0,01/04/2019,496.14,01/09/2019,0.0,1,INDIVIDUAL,2017
37608,861671,1074586,21000,21000,21000.0,36 months,11.99,697.41,B,B5,6 years,RENT,78000.0,Source Verified,2017-08-01,Charged Off,n,other,14.35,0,01/02/2001,2,31,11,17,0.0,0.0,5286.33,5286.33,2995.11,2291.22,0.0,0.0,0.0,01/10/2018,300.7,01/01/2022,0.0,1,INDIVIDUAL,2017
37613,861361,1074267,19000,12250,12250.0,60 months,10.99,266.29,B,B3,10+ years,MORTGAGE,75000.0,Not Verified,2017-09-01,Charged Off,n,credit_card,14.83,0,01/04/1992,0,31,7,28,0.0,0.0,8956.08,8956.08,5279.23,2688.88,0.0,987.97,9.673800004,01/03/2020,266.29,01/08/2020,0.0,1,INDIVIDUAL,2017
37624,860856,1073722,5000,5000,5000.0,36 months,13.507328482328484,182.75,E,E3,10+ years,MORTGAGE,45000.0,Source Verified,2017-08-01,Charged Off,n,debt_consolidation,11.52,0,01/09/1998,3,31,6,10,0.0,0.0,3269.02,3269.02,2011.13,1087.12,0.0,170.77,1.9,01/02/2019,182.75,01/10/2021,0.0,1,INDIVIDUAL,2017
37629,860745,1073567,13800,13800,13800.0,60 months,17.49,346.62,D,D5,8 years,RENT,50000.0,Source Verified,2017-08-01,Charged Off,n,medical,1.68,0,01/03/2000,0,40,3,11,0.0,0.0,960.31,960.31,145.1,200.6,0.0,614.61,5.98,01/10/2017,346.62,01/03/2018,0.0,1,INDIVIDUAL,2017
37640,860452,1073315,1000,1000,1000.0,36 months,13.49,33.94,C,C2,10+ years,MORTGAGE,100000.0,Not Verified,2017-09-01,Charged Off,n,major_purchase,4.49,1,01/09/1996,2,2,10,24,0.0,0.0,135.04,135.04,91.85,43.19,0.0,0.0,0.0,01/01/2018,33.94,01/01/2022,0.0,1,INDIVIDUAL,2017
37641,860483,1073280,15250,15250,15225.0,60 months,13.507328482328484,339.16,B,B5,3 years,RENT,30000.0,Verified,2017-09-01,Charged Off,n,debt_consolidation,26.08,0,01/06/1983,1,31,9,25,0.0,0.0,4803.06,4795.25,2364.77,1698.19,0.0,740.1,7.16,01/09/2018,339.16,01/01/2022,0.0,1,INDIVIDUAL,2017
37652,859997,1072832,13500,13500,13500.0,60 months,19.69,355.35,E,E5,10+ years,RENT,32000.0,Not Verified,2017-08-01,Charged Off,n,debt_consolidation,15.08,0,01/12/2003,1,31,6,7,0.0,0.0,4590.13,4590.13,1592.71,2300.41,0.0,697.01,6.69,01/08/2018,355.35,01/02/2019,0.0,1,INDIVIDUAL,2017
37655,860071,1072800,9000,9000,8975.0,36 months,6.99,277.86,A,A3,2 years,RENT,39359.0,Verified,2017-08-01,Charged Off,n,moving,15.55,0,01/02/2004,1,31,10,14,0.0,0.0,4214.8,4203.11,3275.23,611.03,0.0,328.54,3.4,01/11/2018,277.86,01/04/2019,0.0,1,INDIVIDUAL,2017
37659,859957,1072685,13500,13500,13475.0,60 months,18.39,345.69,E,E2,3 years,MORTGAGE,66000.0,Verified,2017-09-01,Charged Off,n,debt_consolidation,18.89,0,01/10/2004,1,52,7,13,0.0,0.0,606.42,605.3,0.0,0.0,0.0,606.42,5.78,01/01/2022,0.0,01/02/2018,0.0,1,INDIVIDUAL,2017
37665,859762,1072477,13600,13600,13600.0,36 months,14.79,322.05,C,C4,7 years,MORTGAGE,55000.0,Not Verified,2017-09-01,Charged Off,n,debt_consolidation,16.65,0,01/07/1990,2,31,15,26,0.0,0.0,6754.86,6754.86,3671.29,3083.57,0.0,0.0,0.0,01/06/2019,322.05,01/01/2022,0.0,1,INDIVIDUAL,2017
37671,859459,1072149,7000,7000,7000.0,36 months,15.99,246.07,D,D2,10+ years,OWN,60000.0,Not Verified,2017-08-01,Charged Off,n,major_purchase,12.28,1,01/03/1998,2,4,6,34,0.0,0.0,2460.7,2460.7,1615.52,833.98,0.0,11.2,0.0,01/07/2018,246.07,01/01/2022,0.0,1,INDIVIDUAL,2017
37691,858255,1070819,3300,3300,3300.0,36 months,12.99,111.18,C,C1,< 1 year,OWN,41196.0,Not Verified,2017-08-01,Charged Off,n,debt_consolidation,11.86,0,01/02/2008,3,31,4,4,0.0,0.0,3425.93,3425.93,2646.69,689.71,0.0,89.53,0.895300002,01/05/2020,341.56,01/08/2020,0.0,1,INDIVIDUAL,2017
37701,857865,1070376,15000,15000,14750.0,36 months,17.49,376.76,D,D5,7 years,MORTGAGE,78000.0,Verified,2017-08-01,Charged Off,n,credit_card,19.94,0,01/07/1995,0,74,10,28,0.0,0.0,16366.08,16092.44,6779.53,6121.55,0.0,3465.0,589.05,01/09/2020,156.0,01/01/2022,0.0,1,INDIVIDUAL,2017
37704,858164,1070316,35000,35000,34975.0,60 months,17.99,888.58,E,E1,2 years,RENT,93500.0,Verified,2017-08-01,Charged Off,n,debt_consolidation,14.57,0,01/11/1998,3,31,15,31,0.0,0.0,5323.8,5320.02,2263.44,3060.36,0.0,0.0,0.0,01/03/2018,888.58,01/01/2022,0.0,1,INDIVIDUAL,2017
37707,857376,1069827,8000,8000,8000.0,60 months,20.99,216.39,F,F3,4 years,RENT,72780.0,Not Verified,2017-08-01,Charged Off,n,other,7.42,0,01/09/2005,1,31,8,18,0.0,0.0,5626.14,5626.14,2481.55,3125.61,0.0,18.98,0.0,01/11/2019,216.39,01/01/2022,0.0,1,INDIVIDUAL,2017
37729,856680,1069065,15000,15000,15000.0,36 months,17.99,542.22,E,E1,10+ years,MORTGAGE,65000.0,Verified,2017-08-01,Charged Off,n,debt_consolidation,14.6,0,01/05/1999,0,31,9,25,0.0,0.0,13986.04,13986.04,8926.84,4205.95,0.0,853.25,148.239,01/02/2020,76.26,01/02/2020,0.0,1,INDIVIDUAL,2017
37736,856571,1068947,22000,22000,21625.0,60 months,11.99,489.27,B,B5,10+ years,MORTGAGE,90000.0,Verified,2017-08-01,Charged Off,n,debt_consolidation,17.15,0,01/02/1996,0,31,10,15,0.0,0.0,8824.37,8674.03,4641.43,3172.65,0.0,1010.29,9.78,01/01/2019,489.27,01/04/2021,0.0,1,INDIVIDUAL,2017
37737,856531,1068900,14500,14500,14500.0,36 months,5.42,437.32,A,A1,10+ years,MORTGAGE,70000.0,Verified,2017-08-01,Charged Off,n,credit_card,8.73,0,01/04/1994,0,31,8,25,0.0,0.0,7471.48,7471.48,6150.73,841.43,0.0,479.32,4.88,01/01/2019,437.32,01/05/2019,0.0,1,INDIVIDUAL,2017
37755,856073,1068380,10000,10000,10000.0,36 months,5.42,301.6,A,A1,6 years,MORTGAGE,50000.0,Not Verified,2017-08-01,Charged Off,n,debt_consolidation,10.08,0,01/04/1989,2,31,8,28,0.0,0.0,2864.35,2864.35,2081.57,328.19,0.0,454.59,4.45,01/05/2018,301.6,01/11/2018,0.0,1,INDIVIDUAL,2017
37789,855019,1067313,15000,15000,14925.0,36 months,5.99,456.27,A,A2,< 1 year,MORTGAGE,54000.0,Not Verified,2017-08-01,Charged Off,n,debt_consolidation,1.11,1,01/02/1999,3,18,7,52,0.0,0.0,4193.23,4172.28,2826.91,666.68,0.0,699.64,6.93,01/07/2018,100.3,01/11/2018,0.0,1,INDIVIDUAL,2017
37805,854486,1066735,8000,8000,8000.0,36 months,10.59,260.36,B,B2,< 1 year,RENT,26400.0,Source Verified,2017-09-01,Charged Off,n,debt_consolidation,16.41,0,01/02/2002,3,31,13,27,0.0,0.0,2198.34,2198.34,1360.13,457.21,0.0,381.0,3.5,01/04/2018,260.36,01/08/2018,0.0,1,INDIVIDUAL,2017
37806,854481,1066730,8500,8500,8500.0,36 months,5.42,256.36,A,A1,10+ years,MORTGAGE,60000.0,Not Verified,2017-08-01,Charged Off,n,wedding,25.88,0,01/01/1983,0,31,14,27,0.0,0.0,1792.77,1792.77,1545.1,247.67,0.0,0.0,0.0,01/04/2018,256.36,01/01/2022,0.0,1,INDIVIDUAL,2017
37810,854379,1066621,10000,10000,10000.0,36 months,13.99,341.73,C,C3,< 1 year,RENT,84996.0,Not Verified,2017-08-01,Charged Off,n,debt_consolidation,8.44,1,01/03/1998,2,6,8,42,0.0,0.0,5612.03,5612.03,914.82,449.66,0.0,4247.55,305.838,01/01/2018,341.73,01/03/2018,0.0,1,INDIVIDUAL,2017
37815,854297,1066534,18825,18825,18800.0,60 months,17.49,472.83,D,D5,6 years,MORTGAGE,65000.0,Verified,2017-08-01,Charged Off,n,debt_consolidation,11.91,0,01/04/1990,0,32,7,43,0.0,0.0,13666.71,13648.71,5915.3,5905.28,0.0,1846.13,18.4613,01/11/2019,38.0,01/03/2020,0.0,1,INDIVIDUAL,2017
37827,853896,1066088,8000,8000,8000.0,36 months,10.59,260.36,B,B2,8 years,MORTGAGE,50000.0,Verified,2017-08-01,Charged Off,n,wedding,7.87,1,01/10/2000,0,8,7,20,0.0,0.0,6428.75,6428.75,4799.25,1168.79,0.0,460.71,10.983,01/08/2019,260.36,01/01/2020,0.0,1,INDIVIDUAL,2017
37830,853829,1066022,11400,11400,11400.0,36 months,17.99,412.09,E,E1,4 years,MORTGAGE,55000.0,Verified,2017-08-01,Charged Off,n,small_business,2.27,0,01/01/2000,0,75,3,5,0.0,0.0,7393.17,7393.17,4622.78,2370.68,0.0,399.71,4.14,01/02/2019,412.09,01/07/2019,0.0,1,INDIVIDUAL,2017
37833,967930,1065797,16000,16000,16000.0,60 months,13.49,368.08,C,C2,10+ years,OWN,200000.0,Source Verified,2017-10-01,Charged Off,n,other,9.17,0,01/01/1999,0,47,13,41,0.0,0.0,9193.25,9193.25,5393.2,3800.05,0.0,0.0,0.0,01/11/2019,368.08,01/01/2022,0.0,1,INDIVIDUAL,2017
37840,853406,1065574,30000,30000,28764.83907,60 months,13.99,697.9,C,C3,10+ years,OWN,103000.0,Verified,2017-08-01,Charged Off,n,small_business,8.92,0,01/11/1983,4,61,10,27,0.0,0.0,27188.29,24992.91,15456.57,9656.23,0.0,2075.49,20.6389,01/09/2020,697.9,01/01/2021,0.0,1,INDIVIDUAL,2017
37853,852973,1065114,14000,14000,13750.0,36 months,10.59,455.63,B,B2,6 years,MORTGAGE,90000.0,Source Verified,2017-08-01,Charged Off,n,debt_consolidation,14.68,0,01/07/2001,0,72,10,35,0.0,0.0,9111.53,8948.74,7220.47,1881.33,0.0,9.73,0.0,01/05/2019,455.63,01/01/2022,0.0,1,INDIVIDUAL,2017
37856,852898,1065031,12500,12500,12500.0,60 months,14.79,296.0,C,C4,2 years,MORTGAGE,80000.0,Source Verified,2017-08-01,Charged Off,n,credit_card,13.42,0,01/05/1998,2,31,7,14,0.0,0.0,7050.7,7050.7,3554.51,2943.85,0.0,552.34,8.6014,01/07/2019,296.0,01/12/2019,0.0,1,INDIVIDUAL,2017
37858,852879,1065011,1000,1000,1000.0,36 months,17.99,36.15,E,E1,1 year,RENT,24000.0,Verified,2017-08-01,Charged Off,n,debt_consolidation,12.65,0,01/05/2004,0,31,7,9,0.0,0.0,159.25,159.25,86.03,58.23,14.98453608,0.0,0.0,01/01/2018,87.3,01/01/2022,0.0,1,INDIVIDUAL,2017
37865,852787,1064904,8300,8300,8300.0,36 months,8.49,261.98,A,A5,5 years,OWN,50000.0,Not Verified,2017-08-01,Charged Off,n,debt_consolidation,2.88,0,01/02/2006,1,56,9,16,0.0,0.0,878.54,878.54,406.6,115.62,0.0,356.32,3.48,01/11/2017,261.98,01/01/2022,0.0,1,INDIVIDUAL,2017
37868,852703,1064814,4800,4800,4800.0,36 months,22.11,132.88,G,G1,3 years,RENT,65000.0,Source Verified,2017-08-01,Charged Off,n,small_business,12.42,0,01/09/2003,1,71,25,39,0.0,0.0,5392.28,5392.28,2411.56,2630.05,0.0,350.67,63.1206,01/11/2020,132.88,01/03/2021,0.0,1,INDIVIDUAL,2017
37872,852632,1064738,6500,6500,6500.0,36 months,15.99,228.49,D,D2,3 years,MORTGAGE,54000.0,Verified,2017-08-01,Charged Off,n,debt_consolidation,20.2,0,01/12/2006,3,31,16,19,0.0,0.0,3883.85,3883.85,2502.74,1140.14,0.0,240.97,2.46,01/01/2019,228.49,01/05/2019,0.0,1,INDIVIDUAL,2017
37892,851770,1063736,6000,6000,6000.0,36 months,16.49,212.4,D,D3,2 years,RENT,18835.2,Not Verified,2017-08-01,Charged Off,n,small_business,14.46,0,01/02/2008,0,31,7,8,0.0,0.0,3604.17,3604.17,2464.99,1139.18,0.0,0.0,0.0,01/02/2019,212.4,01/01/2022,0.0,1,INDIVIDUAL,2017
37898,851498,1063428,9600,9600,9600.0,36 months,20.62,359.82,F,F2,2 years,RENT,60000.0,Not Verified,2017-08-01,Charged Off,n,medical,11.04,0,01/10/2006,1,31,6,7,0.0,0.0,782.05,782.05,194.32,164.51,0.0,423.22,4.06,01/10/2017,359.82,01/01/2022,0.0,1,INDIVIDUAL,2017
37929,850331,1062145,18800,18800,18800.0,60 months,19.69,494.85,E,E5,8 years,OWN,50000.0,Verified,2017-08-01,Charged Off,n,home_improvement,12.98,0,01/10/1982,3,31,7,11,0.0,0.0,16403.62,16403.62,6861.18,7869.52,0.0,1672.92,16.7292,01/04/2020,876.54,01/06/2020,0.0,1,INDIVIDUAL,2017
37934,850126,1061914,4200,4200,4200.0,36 months,10.99,137.49,B,B3,2 years,RENT,60000.0,Source Verified,2017-08-01,Charged Off,n,debt_consolidation,16.2,0,01/10/2002,2,31,11,14,0.0,0.0,3514.8,3514.8,2629.94,651.58,0.0,233.28,7.848299999,01/08/2019,137.49,01/01/2020,0.0,1,INDIVIDUAL,2017
37936,850106,1061893,1325,1325,1325.0,36 months,13.49,44.96,C,C2,< 1 year,RENT,24000.0,Source Verified,2017-08-01,Charged Off,n,moving,3.8,0,01/09/2000,0,24,3,3,0.0,0.0,1476.64,1476.64,1145.61,287.6,14.93661032,28.5,0.285,01/05/2020,44.96,01/09/2020,0.0,1,INDIVIDUAL,2017
37937,850095,1061880,5200,5200,5200.0,60 months,13.507328482328484,114.34,B,B4,1 year,MORTGAGE,57000.0,Verified,2017-08-01,Charged Off,n,home_improvement,0.32,0,01/02/1997,2,33,7,16,0.0,0.0,1708.48,1708.48,808.76,634.83,0.0,264.89,2.26,01/11/2018,200.0,01/02/2019,0.0,1,INDIVIDUAL,2017
37945,849761,1061500,4000,4000,4000.0,60 months,16.89,99.18,D,D4,< 1 year,RENT,35832.0,Source Verified,2017-08-01,Charged Off,n,other,4.02,0,01/10/2005,1,39,17,19,0.0,0.0,3258.54,3258.54,173.52,219.44,0.0,2865.58,708.195,01/12/2017,99.18,01/01/2022,0.0,1,INDIVIDUAL,2017
37973,848702,1060344,15000,15000,14725.0,36 months,11.49,494.57,B,B4,8 years,MORTGAGE,120000.0,Verified,2017-08-01,Charged Off,n,credit_card,9.69,0,01/02/2001,0,54,10,27,0.0,0.0,13897.53,13642.18,9828.28,2534.27,0.0,1534.98,250.6536,01/10/2019,39.5,01/02/2020,0.0,1,INDIVIDUAL,2017
37974,848658,1060292,30000,30000,27730.18777,60 months,20.25,799.0,F,F1,10+ years,MORTGAGE,78000.0,Source Verified,2017-08-01,Charged Off,n,debt_consolidation,16.32,0,01/06/2000,1,36,10,34,0.0,0.0,11185.56,5544.72,4574.35,6598.21,0.0,13.0,0.0,01/10/2018,799.0,01/01/2022,0.0,1,INDIVIDUAL,2017
37977,848559,1060176,16400,16400,16400.0,60 months,22.48,457.44,G,G2,1 year,RENT,37000.0,Source Verified,2017-08-01,Charged Off,n,debt_consolidation,8.17,0,01/09/2001,0,31,3,9,0.0,0.0,1845.89,1845.89,612.79,1210.29,22.80317643,0.0,0.0,01/01/2018,937.75,01/05/2018,0.0,1,INDIVIDUAL,2017
37979,848509,1060121,2500,2500,2500.0,36 months,15.62,87.43,D,D1,3 years,RENT,39000.0,Not Verified,2017-08-01,Charged Off,n,debt_consolidation,22.92,0,01/12/2006,3,31,9,13,0.0,0.0,1397.51,1397.51,936.6,371.4,0.0,89.51,0.95,01/10/2018,87.43,01/03/2019,0.0,1,INDIVIDUAL,2017
37983,848386,1059988,5000,5000,4750.0,60 months,10.99,108.69,B,B3,5 years,MORTGAGE,45000.0,Source Verified,2017-08-01,Charged Off,n,car,16.24,0,01/01/2006,0,31,9,18,0.0,0.0,324.69,308.4,189.62,135.07,0.0,0.0,0.0,01/11/2017,108.69,01/01/2022,0.0,1,INDIVIDUAL,2017
37986,848273,1059862,15000,15000,15000.0,36 months,13.507328482328484,512.6,C,C3,2 years,MORTGAGE,48000.0,Source Verified,2017-08-01,Charged Off,n,credit_card,12.05,0,01/05/1999,2,64,14,19,0.0,0.0,4093.84,4093.84,2809.88,1283.96,0.0,0.0,0.0,01/04/2018,512.6,01/01/2022,0.0,1,INDIVIDUAL,2017
37994,847866,1059410,21000,21000,20750.0,60 months,19.29,548.11,E,E4,9 years,RENT,150000.0,Verified,2017-08-01,Charged Off,n,debt_consolidation,14.0,0,01/12/1994,0,31,9,20,0.0,0.0,21299.99,21046.24,10143.64,9560.72,0.0,1595.63,15.6803,01/09/2020,548.11,01/01/2021,0.0,1,INDIVIDUAL,2017
37995,847836,1059380,11200,11200,11200.0,36 months,13.99,382.74,C,C3,7 years,RENT,105000.0,Not Verified,2017-08-01,Charged Off,n,car,13.5,0,01/03/2003,3,31,10,29,0.0,0.0,8036.64,8036.64,5948.79,2072.37,0.0,15.48,0.0,01/05/2019,382.74,01/01/2022,0.0,1,INDIVIDUAL,2017
38009,847623,1059142,30000,30000,30000.0,60 months,13.507328482328484,799.0,F,F1,7 years,MORTGAGE,60000.0,Verified,2017-08-01,Charged Off,n,debt_consolidation,18.42,0,01/10/1996,1,59,10,30,0.0,0.0,7988.31,7988.31,3155.84,4823.36,0.0,9.11,0.0,01/07/2018,799.0,01/01/2022,0.0,1,INDIVIDUAL,2017
38011,847552,1059058,1200,1200,1200.0,36 months,19.29,44.17,E,E4,2 years,RENT,34560.0,Not Verified,2017-08-01,Charged Off,n,other,8.65,0,01/07/2001,1,53,3,9,0.0,0.0,96.96,96.96,24.87,19.29,0.0,52.8,0.48,01/09/2017,44.17,01/02/2018,0.0,1,INDIVIDUAL,2017
38017,847448,1058937,21200,20975,20950.0,60 months,13.99,487.95,C,C3,6 years,MORTGAGE,78424.06,Verified,2017-09-01,Charged Off,n,debt_consolidation,9.44,0,01/01/1998,1,31,21,37,0.0,0.0,3407.11,3403.05,1760.27,1646.84,0.0,0.0,0.0,01/04/2018,487.95,01/01/2022,0.0,1,INDIVIDUAL,2017
38018,847427,1058914,13225,13225,13200.0,60 months,19.69,348.11,E,E5,10+ years,MORTGAGE,40000.0,Verified,2017-08-01,Charged Off,n,debt_consolidation,24.33,0,01/09/1977,0,30,11,28,0.0,0.0,5088.64,5079.05,813.4,1266.61,17.3977308,2991.24,538.4232,01/02/2018,713.63,01/07/2018,0.0,1,INDIVIDUAL,2017
38028,847089,1058541,25000,25000,24975.0,60 months,17.99,634.7,E,E1,< 1 year,MORTGAGE,102000.0,Verified,2017-09-01,Charged Off,n,debt_consolidation,20.69,0,01/10/2000,2,31,10,29,0.0,0.0,4433.03,4428.62,1899.03,2534.0,0.0,0.0,0.0,01/04/2018,634.7,01/01/2022,0.0,1,INDIVIDUAL,2017
38043,846152,1057490,5400,5400,5400.0,36 months,10.99,176.77,B,B3,3 years,MORTGAGE,50000.0,Not Verified,2017-08-01,Charged Off,n,debt_consolidation,4.25,2,01/11/1998,0,8,7,31,0.0,0.0,2738.92,2738.92,2252.39,477.1,0.0,9.43,0.0,01/09/2018,176.77,01/01/2022,0.0,1,INDIVIDUAL,2017
38047,845927,1057232,30000,30000,29675.0,60 months,18.39,768.19,E,E2,10+ years,MORTGAGE,75000.0,Verified,2017-08-01,Charged Off,n,debt_consolidation,10.53,0,01/02/1994,0,31,6,31,0.0,0.0,23049.46,22799.68,5156.57,6364.33,0.0,11528.56,949.0932,01/11/2018,768.19,01/03/2019,0.0,1,INDIVIDUAL,2017
38059,845476,1056678,20000,20000,19975.0,60 months,16.49,491.59,D,D3,10+ years,MORTGAGE,60000.0,Verified,2017-08-01,Charged Off,n,debt_consolidation,16.16,0,01/11/1996,3,31,13,27,0.0,0.0,6882.1,6873.53,3309.44,3548.6,0.0,24.06,0.0,01/10/2018,491.59,01/01/2022,0.0,1,INDIVIDUAL,2017
38066,845275,1056453,8025,8025,8025.0,36 months,13.49,272.3,C,C2,10+ years,MORTGAGE,55000.0,Source Verified,2017-08-01,Charged Off,n,debt_consolidation,20.44,0,01/06/1997,0,31,10,18,0.0,0.0,7351.94,7351.94,5694.17,1657.77,0.0,0.0,0.0,01/01/2020,38.69,01/01/2022,0.0,1,INDIVIDUAL,2017
38067,845273,1056451,4000,4000,4000.0,36 months,13.507328482328484,141.6,D,D3,5 years,MORTGAGE,25344.0,Source Verified,2017-08-01,Charged Off,n,other,5.45,1,01/11/1995,0,17,4,7,0.0,0.0,2804.87,2804.87,1861.09,821.71,0.0,122.07,1.48,01/03/2019,141.6,01/08/2019,0.0,1,INDIVIDUAL,2017
38070,845188,1056357,8000,8000,8000.0,36 months,11.99,265.68,B,B5,10+ years,RENT,40000.0,Source Verified,2017-08-01,Charged Off,n,debt_consolidation,24.9,0,01/05/1994,1,40,10,21,0.0,0.0,1328.05,1328.05,947.23,380.82,0.0,0.0,0.0,01/01/2018,265.68,01/01/2022,0.0,1,INDIVIDUAL,2017
38078,844853,1055952,4500,4500,4500.0,36 months,5.99,136.88,A,A2,< 1 year,MORTGAGE,39660.0,Source Verified,2017-08-01,Charged Off,n,car,11.65,0,01/10/2000,3,31,10,30,0.0,0.0,957.67,957.67,812.6,145.07,0.0,0.0,0.0,01/03/2018,136.88,01/01/2022,0.0,1,INDIVIDUAL,2017
38083,844621,1055628,4000,4000,4000.0,36 months,11.49,131.89,B,B4,1 year,RENT,51000.0,Not Verified,2017-08-01,Charged Off,n,other,21.44,0,01/09/2001,1,31,13,28,0.0,0.0,1576.44,1576.44,1179.48,396.96,0.0,0.0,0.0,01/08/2018,131.89,01/01/2022,0.0,1,INDIVIDUAL,2017
